Modelo;Pooling;AGG;LAYER;out_vec_size;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg;Nhid;Epochs;qtd_layers;paper_name;paper_link;year
deberta-base;CLS+AVG_AVGALL;CLS+AVG;AVGALL;torch.Size([1536]);84,21;84,77;93,65;89,77;90,99;91,20;75,01;87,09;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM_AVGALL;CLS+SUM;AVGALL;torch.Size([1536]);85,77;87,89;95,68;89,99;90,72;95,60;68,99;87,81;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX_AVGALL;CLS+MAX;AVGALL;torch.Size([1536]);79,44;70,81;91,63;88,98;88,08;88,20;73,10;82,89;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG-NS_AVGALL;CLS+AVG-NS;AVGALL;torch.Size([1536]);84,36;84,21;93,68;90,09;91,05;91,60;74,96;87,14;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM-NS_AVGALL;CLS+SUM-NS;AVGALL;torch.Size([1536]);85,50;86,70;95,69;90,61;90,88;95,60;72,46;88,21;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX-NS_AVGALL;CLS+MAX-NS;AVGALL;torch.Size([1536]);79,40;70,83;91,63;89,75;88,08;88,20;73,86;83,11;nan;nan;nan;nan;nan;nan
deberta-base;DY3_AVGALL;DY3;AVGALL;torch.Size([2304]);84,34;87,34;94,12;89,97;89,68;83,00;67,71;85,17;nan;nan;nan;nan;nan;nan
deberta-base;DY3-NS_AVGALL;DY3-NS;AVGALL;torch.Size([2304]);83,89;86,78;93,88;68,77;90,33;91,00;66,96;83,09;nan;nan;nan;nan;nan;nan
deberta-base;DY5_AVGALL;DY5;AVGALL;torch.Size([3840]);84,53;87,10;95,20;68,77;90,28;87,60;65,45;82,70;nan;nan;nan;nan;nan;nan
deberta-base;DY5-NS_AVGALL;DY5-NS;AVGALL;torch.Size([3840]);84,78;87,76;95,06;68,77;50,08;93,40;68,99;78,41;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_LYR-7;CLS+AVG+AVG-NS;LYR-7;torch.Size([2304]);84,21;87,44;94,90;90,62;91,43;95,00;76,46;88,58;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_LYR-7;CLS+AVG+SUM-NS;LYR-7;torch.Size([2304]);84,35;89,99;95,27;90,55;90,99;95,60;67,54;87,76;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_LYR-7;CLS+AVG+MAX-NS;LYR-7;torch.Size([2304]);83,83;85,16;94,39;90,46;90,94;94,00;73,97;87,54;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_LYR-7;CLS+SUM+AVG-NS;LYR-7;torch.Size([2304]);84,72;88,21;94,97;90,60;90,61;95,00;71,13;87,89;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_LYR-7;CLS+SUM+SUM-NS;LYR-7;torch.Size([2304]);83,86;88,42;94,28;90,32;90,44;95,40;70,14;87,55;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_LYR-7;CLS+SUM+MAX-NS;LYR-7;torch.Size([2304]);84,34;88,63;94,64;90,82;90,61;95,40;70,67;87,87;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_LYR-7;CLS+MAX+AVG-NS;LYR-7;torch.Size([2304]);83,87;85,14;94,39;90,38;90,77;94,20;73,57;87,47;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_LYR-7;CLS+MAX+SUM-NS;LYR-7;torch.Size([2304]);84,34;89,19;94,93;90,48;90,99;95,40;70,38;87,96;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_LYR-7;CLS+MAX+MAX-NS;LYR-7;torch.Size([2304]);80,44;80,00;91,79;88,95;87,20;93,60;74,32;85,19;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_LYR-8;CLS+AVG+AVG-NS;LYR-8;torch.Size([2304]);85,74;88,95;95,07;90,19;92,04;95,20;76,41;89,09;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_LYR-8;CLS+AVG+SUM-NS;LYR-8;torch.Size([2304]);85,49;89,96;94,74;89,91;91,82;96,20;71,54;88,52;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_LYR-8;CLS+AVG+MAX-NS;LYR-8;torch.Size([2304]);85,54;87,97;94,10;90,12;91,54;93,80;73,51;88,08;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_LYR-8;CLS+SUM+AVG-NS;LYR-8;torch.Size([2304]);85,87;89,88;95,18;90,32;91,16;96,20;71,65;88,61;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_LYR-8;CLS+SUM+SUM-NS;LYR-8;torch.Size([2304]);85,16;90,01;95,19;89,64;90,44;96,40;70,96;88,26;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_LYR-8;CLS+SUM+MAX-NS;LYR-8;torch.Size([2304]);85,14;89,69;95,09;90,12;90,88;95,40;72,52;88,41;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_LYR-8;CLS+MAX+AVG-NS;LYR-8;torch.Size([2304]);85,08;86,97;94,26;90,27;91,76;94,80;73,45;88,08;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_LYR-8;CLS+MAX+SUM-NS;LYR-8;torch.Size([2304]);85,68;89,88;95,07;89,94;90,61;95,60;71,77;88,36;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_LYR-8;CLS+MAX+MAX-NS;LYR-8;torch.Size([2304]);82,59;78,68;92,52;89,35;89,51;93,40;73,91;85,71;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_LYR-9;CLS+AVG+AVG-NS;LYR-9;torch.Size([2304]);86,55;89,56;94,84;90,27;91,82;94,60;76,99;89,23;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_LYR-9;CLS+AVG+SUM-NS;LYR-9;torch.Size([2304]);86,49;90,49;95,11;89,93;91,71;96,00;69,39;88,45;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_LYR-9;CLS+AVG+MAX-NS;LYR-9;torch.Size([2304]);85,92;88,80;93,87;90,14;91,76;94,40;74,67;88,51;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_LYR-9;CLS+SUM+AVG-NS;LYR-9;torch.Size([2304]);87,13;90,86;95,27;89,82;91,43;96,40;71,25;88,88;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_LYR-9;CLS+SUM+SUM-NS;LYR-9;torch.Size([2304]);86,23;89,96;95,15;89,81;91,60;96,20;72,58;88,79;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_LYR-9;CLS+SUM+MAX-NS;LYR-9;torch.Size([2304]);86,82;90,36;95,33;90,00;91,54;95,60;72,23;88,84;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_LYR-9;CLS+MAX+AVG-NS;LYR-9;torch.Size([2304]);85,99;89,16;93,98;90,01;91,93;93,80;74,14;88,43;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_LYR-9;CLS+MAX+SUM-NS;LYR-9;torch.Size([2304]);86,48;89,99;95,34;89,77;91,60;95,60;68,93;88,24;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_LYR-9;CLS+MAX+MAX-NS;LYR-9;torch.Size([2304]);83,87;81,35;92,58;89,44;89,29;92,00;74,43;86,14;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_LYR-10;CLS+AVG+AVG-NS;LYR-10;torch.Size([2304]);86,94;90,09;94,75;89,92;92,70;93,40;76,17;89,14;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_LYR-10;CLS+AVG+SUM-NS;LYR-10;torch.Size([2304]);87,19;90,78;94,98;90,00;92,53;96,20;71,77;89,06;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_LYR-10;CLS+AVG+MAX-NS;LYR-10;torch.Size([2304]);87,08;90,07;94,37;90,08;93,08;93,80;74,32;88,97;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_LYR-10;CLS+SUM+AVG-NS;LYR-10;torch.Size([2304]);87,20;90,92;94,88;89,71;92,53;95,80;70,32;88,77;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_LYR-10;CLS+SUM+SUM-NS;LYR-10;torch.Size([2304]);87,36;91,15;94,95;89,70;91,98;95,80;68,58;88,50;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_LYR-10;CLS+SUM+MAX-NS;LYR-10;torch.Size([2304]);87,17;90,92;94,85;90,06;92,48;96,00;70,43;88,84;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_LYR-10;CLS+MAX+AVG-NS;LYR-10;torch.Size([2304]);86,72;89,78;94,53;89,99;93,03;94,00;74,49;88,93;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_LYR-10;CLS+MAX+SUM-NS;LYR-10;torch.Size([2304]);87,43;90,41;94,63;89,80;92,42;95,00;71,54;88,75;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_LYR-10;CLS+MAX+MAX-NS;LYR-10;torch.Size([2304]);84,21;82,20;92,84;89,17;90,94;93,40;73,39;86,59;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_LYR-11;CLS+AVG+AVG-NS;LYR-11;torch.Size([2304]);86,51;88,82;94,71;89,36;92,92;91,20;75,42;88,42;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_LYR-11;CLS+AVG+SUM-NS;LYR-11;torch.Size([2304]);87,91;89,94;95,08;89,33;92,42;94,60;64,64;87,70;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_LYR-11;CLS+AVG+MAX-NS;LYR-11;torch.Size([2304]);86,44;88,71;94,25;89,28;93,36;90,60;72,70;87,91;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_LYR-11;CLS+SUM+AVG-NS;LYR-11;torch.Size([2304]);87,53;89,80;95,25;89,46;92,37;94,80;70,61;88,55;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_LYR-11;CLS+SUM+SUM-NS;LYR-11;torch.Size([2304]);87,41;90,28;95,18;89,19;92,37;94,60;69,86;88,41;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_LYR-11;CLS+SUM+MAX-NS;LYR-11;torch.Size([2304]);87,50;89,85;94,91;89,23;92,70;94,60;70,96;88,54;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_LYR-11;CLS+MAX+AVG-NS;LYR-11;torch.Size([2304]);85,93;88,63;94,26;89,31;93,30;90,80;73,91;88,02;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_LYR-11;CLS+MAX+SUM-NS;LYR-11;torch.Size([2304]);87,36;88,95;95,08;89,11;92,64;95,00;69,16;88,19;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_LYR-11;CLS+MAX+MAX-NS;LYR-11;torch.Size([2304]);81,85;71,55;91,68;88,33;89,73;88,00;73,86;83,57;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_LYR-12;CLS+AVG+AVG-NS;LYR-12;torch.Size([2304]);84,15;85,67;93,59;87,76;91,38;85,60;70,03;85,45;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_LYR-12;CLS+AVG+SUM-NS;LYR-12;torch.Size([2304]);84,35;85,32;93,57;87,19;90,99;90,80;67,36;85,65;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_LYR-12;CLS+AVG+MAX-NS;LYR-12;torch.Size([2304]);83,97;80,82;92,16;86,71;91,43;85,80;68,00;84,13;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_LYR-12;CLS+SUM+AVG-NS;LYR-12;torch.Size([2304]);83,58;84,00;93,92;87,73;91,05;90,80;67,30;85,48;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_LYR-12;CLS+SUM+SUM-NS;LYR-12;torch.Size([2304]);82,17;84,45;93,46;87,36;90,39;88,60;70,49;85,27;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_LYR-12;CLS+SUM+MAX-NS;LYR-12;torch.Size([2304]);83,57;83,89;93,83;87,37;91,10;90,40;67,25;85,34;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_LYR-12;CLS+MAX+AVG-NS;LYR-12;torch.Size([2304]);83,46;82,07;92,59;86,73;91,49;87,80;66,49;84,38;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_LYR-12;CLS+MAX+SUM-NS;LYR-12;torch.Size([2304]);84,56;85,19;93,87;86,56;91,16;90,00;67,42;85,54;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_LYR-12;CLS+MAX+MAX-NS;LYR-12;torch.Size([2304]);78,80;68,21;89,48;84,24;86,22;83,40;68,35;79,81;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_SUML4L;CLS+AVG+AVG-NS;SUML4L;torch.Size([2304]);87,40;89,98;95,26;90,49;92,59;95,80;75,94;89,64;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_SUML4L;CLS+AVG+SUM-NS;SUML4L;torch.Size([2304]);84,77;89,14;94,26;89,37;91,71;95,60;68,64;87,64;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_SUML4L;CLS+AVG+MAX-NS;SUML4L;torch.Size([2304]);86,54;88,90;94,70;90,14;92,53;94,60;70,84;88,32;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_SUML4L;CLS+SUM+AVG-NS;SUML4L;torch.Size([2304]);84,67;89,22;94,44;89,89;91,16;95,20;72,12;88,10;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_SUML4L;CLS+SUM+SUM-NS;SUML4L;torch.Size([2304]);84,23;89,22;94,43;89,20;91,71;95,20;69,10;87,58;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_SUML4L;CLS+SUM+MAX-NS;SUML4L;torch.Size([2304]);84,19;88,37;94,51;89,38;91,21;94,60;71,94;87,74;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_SUML4L;CLS+MAX+AVG-NS;SUML4L;torch.Size([2304]);86,67;88,85;94,49;90,23;92,37;94,40;67,54;87,79;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_SUML4L;CLS+MAX+SUM-NS;SUML4L;torch.Size([2304]);84,63;89,14;94,53;89,57;91,16;94,00;67,48;87,22;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_SUML4L;CLS+MAX+MAX-NS;SUML4L;torch.Size([2304]);83,21;80,43;92,69;88,86;89,73;91,00;67,77;84,81;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_AVGL4L;CLS+AVG+AVG-NS;AVGL4L;torch.Size([2304]);86,49;89,14;94,76;89,78;92,37;92,80;75,54;88,70;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_AVGL4L;CLS+AVG+SUM-NS;AVGL4L;torch.Size([2304]);86,73;88,98;95,03;89,55;92,59;96,00;68,29;88,17;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_AVGL4L;CLS+AVG+MAX-NS;AVGL4L;torch.Size([2304]);85,99;88,05;93,78;89,47;92,42;92,20;73,74;87,95;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_AVGL4L;CLS+SUM+AVG-NS;AVGL4L;torch.Size([2304]);86,99;89,46;95,53;89,88;92,48;95,40;72,75;88,93;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_AVGL4L;CLS+SUM+SUM-NS;AVGL4L;torch.Size([2304]);86,47;89,88;95,07;89,53;91,87;95,40;72,29;88,64;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_AVGL4L;CLS+SUM+MAX-NS;AVGL4L;torch.Size([2304]);86,99;90,17;95,09;89,65;91,98;95,00;71,83;88,67;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_AVGL4L;CLS+MAX+AVG-NS;AVGL4L;torch.Size([2304]);86,19;88,21;94,16;89,55;92,53;91,60;72,81;87,86;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_AVGL4L;CLS+MAX+SUM-NS;AVGL4L;torch.Size([2304]);87,17;89,67;95,03;89,64;91,98;95,00;68,58;88,15;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_AVGL4L;CLS+MAX+MAX-NS;AVGL4L;torch.Size([2304]);83,17;75,89;92,35;88,47;90,50;90,60;74,14;85,02;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_SUMALL;CLS+AVG+AVG-NS;SUMALL;torch.Size([2304]);86,00;88,95;96,06;90,81;91,32;95,60;74,90;89,09;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_SUMALL;CLS+AVG+SUM-NS;SUMALL;torch.Size([2304]);81,60;86,99;94,19;89,21;90,01;92,40;67,77;86,02;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_SUMALL;CLS+AVG+MAX-NS;SUMALL;torch.Size([2304]);83,83;86,52;94,30;90,18;92,20;91,60;69,39;86,86;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_SUMALL;CLS+SUM+AVG-NS;SUMALL;torch.Size([2304]);81,99;86,22;94,34;88,95;90,83;94,20;69,04;86,51;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_SUMALL;CLS+SUM+SUM-NS;SUMALL;torch.Size([2304]);82,00;87,57;94,08;88,63;90,39;91,80;70,61;86,44;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_SUMALL;CLS+SUM+MAX-NS;SUMALL;torch.Size([2304]);81,87;86,33;94,36;88,98;90,12;95,00;69,62;86,61;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_SUMALL;CLS+MAX+AVG-NS;SUMALL;torch.Size([2304]);84,06;86,75;94,27;89,75;91,76;95,00;69,04;87,23;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_SUMALL;CLS+MAX+SUM-NS;SUMALL;torch.Size([2304]);81,68;87,55;94,08;88,91;90,17;90,80;67,94;85,88;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_SUMALL;CLS+MAX+MAX-NS;SUMALL;torch.Size([2304]);78,70;69,06;92,06;89,33;87,86;90,60;69,16;82,40;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_AVGALL;CLS+AVG+AVG-NS;AVGALL;torch.Size([2304]);84,84;87,76;94,72;90,98;91,65;93,40;77,04;88,63;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_AVGALL;CLS+AVG+SUM-NS;AVGALL;torch.Size([2304]);85,75;89,32;95,46;90,64;91,60;95,20;72,87;88,69;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_AVGALL;CLS+AVG+MAX-NS;AVGALL;torch.Size([2304]);83,64;85,51;93,88;90,41;91,43;94,00;74,26;87,59;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_AVGALL;CLS+SUM+AVG-NS;AVGALL;torch.Size([2304]);85,82;87,57;95,86;90,71;91,60;95,20;72,41;88,45;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_AVGALL;CLS+SUM+SUM-NS;AVGALL;torch.Size([2304]);85,14;89,01;95,51;90,23;90,88;95,80;71,71;88,33;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_AVGALL;CLS+SUM+MAX-NS;AVGALL;torch.Size([2304]);85,43;88,39;95,76;90,25;90,94;95,80;72,99;88,51;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_AVGALL;CLS+MAX+AVG-NS;AVGALL;torch.Size([2304]);83,41;85,16;94,19;90,37;91,43;94,40;73,91;87,55;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_AVGALL;CLS+MAX+SUM-NS;AVGALL;torch.Size([2304]);85,26;89,24;95,20;90,28;91,65;94,20;72,99;88,40;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_AVGALL;CLS+MAX+MAX-NS;AVGALL;torch.Size([2304]);80,12;74,99;92,01;89,92;87,86;92,20;73,80;84,41;nan;nan;nan;nan;nan;nan
allmpnet;CLS_LYR-7;CLS;LYR-7;torch.Size([768]);81,54;86,12;92,29;68,75;87,26;18,80;68,46;71,89;nan;nan;nan;nan;nan;nan
allmpnet;AVG_LYR-7;AVG;LYR-7;torch.Size([768]);84,52;89,56;94,22;89,54;90,83;90,40;71,54;87,23;nan;nan;nan;nan;nan;nan
allmpnet;SUM_LYR-7;SUM;LYR-7;torch.Size([768]);85,17;90,78;95,43;89,36;90,23;94,40;69,10;87,78;nan;nan;nan;nan;nan;nan
allmpnet;MAX_LYR-7;MAX;LYR-7;torch.Size([768]);81,12;85,17;92,39;88,60;88,69;82,40;72,87;84,46;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_LYR-7;AVG-NS;LYR-7;torch.Size([768]);83,67;89,75;94,05;90,04;91,16;90,80;71,71;87,31;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_LYR-7;SUM-NS;LYR-7;torch.Size([768]);85,22;90,49;95,28;89,35;90,61;94,80;65,33;87,30;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_LYR-7;MAX-NS;LYR-7;torch.Size([768]);80,77;84,79;92,64;88,63;88,91;82,40;72,64;84,40;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_LYR-7;CLS+AVG;LYR-7;torch.Size([1536]);85,23;89,48;95,09;89,01;91,54;91,60;73,91;87,98;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_LYR-7;CLS+SUM;LYR-7;torch.Size([1536]);86,02;90,78;95,77;90,25;90,55;94,20;70,84;88,34;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_LYR-7;CLS+MAX;LYR-7;torch.Size([1536]);83,41;88,77;94,75;88,70;90,66;84,60;72,87;86,25;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_LYR-7;CLS+AVG-NS;LYR-7;torch.Size([1536]);85,30;89,72;95,19;89,36;91,65;92,00;73,80;88,15;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM-NS_LYR-7;CLS+SUM-NS;LYR-7;torch.Size([1536]);86,31;91,02;95,56;90,14;90,55;94,20;70,20;88,28;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX-NS_LYR-7;CLS+MAX-NS;LYR-7;torch.Size([1536]);83,29;89,25;94,65;88,64;91,32;84,60;72,58;86,33;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+AVG-NS_LYR-7;CLS+AVG+AVG-NS;LYR-7;torch.Size([2304]);85,97;90,76;95,34;89,98;91,27;93,60;74,96;88,84;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+SUM-NS_LYR-7;CLS+AVG+SUM-NS;LYR-7;torch.Size([2304]);86,10;91,74;95,36;90,28;90,06;94,60;67,59;87,96;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG+MAX-NS_LYR-7;CLS+AVG+MAX-NS;LYR-7;torch.Size([2304]);85,44;90,83;95,05;89,99;91,98;93,00;73,39;88,53;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+AVG-NS_LYR-7;CLS+SUM+AVG-NS;LYR-7;torch.Size([2304]);86,36;90,52;95,50;89,91;90,61;94,60;70,20;88,24;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+SUM-NS_LYR-7;CLS+SUM+SUM-NS;LYR-7;torch.Size([2304]);85,64;90,36;95,47;90,01;90,39;94,80;68,46;87,88;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM+MAX-NS_LYR-7;CLS+SUM+MAX-NS;LYR-7;torch.Size([2304]);85,74;91,18;94,91;90,09;90,94;94,80;67,07;87,82;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+AVG-NS_LYR-7;CLS+MAX+AVG-NS;LYR-7;torch.Size([2304]);85,58;90,60;95,33;90,06;91,49;92,40;73,04;88,36;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+SUM-NS_LYR-7;CLS+MAX+SUM-NS;LYR-7;torch.Size([2304]);86,03;91,26;95,38;90,04;90,94;95,20;68,00;88,12;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX+MAX-NS_LYR-7;CLS+MAX+MAX-NS;LYR-7;torch.Size([2304]);83,82;89,56;94,26;89,03;91,49;90,40;72,12;87,24;nan;nan;nan;nan;nan;nan
allmpnet;CLS_LYR-8;CLS;LYR-8;torch.Size([768]);81,86;84,61;91,28;68,77;87,86;44,20;66,72;75,04;nan;nan;nan;nan;nan;nan
allmpnet;AVG_LYR-8;AVG;LYR-8;torch.Size([768]);85,90;89,48;94,15;89,19;90,61;91,60;70,67;87,37;nan;nan;nan;nan;nan;nan
allmpnet;SUM_LYR-8;SUM;LYR-8;torch.Size([768]);85,24;90,99;95,09;89,60;90,77;94,60;70,32;88,09;nan;nan;nan;nan;nan;nan
allmpnet;MAX_LYR-8;MAX;LYR-8;torch.Size([768]);83,13;87,42;92,78;88,33;89,29;85,00;72,64;85,51;nan;nan;nan;nan;nan;nan
allmpnet;AVG-NS_LYR-8;AVG-NS;LYR-8;torch.Size([768]);85,99;89,19;94,33;89,52;90,88;92,20;70,96;87,58;nan;nan;nan;nan;nan;nan
allmpnet;SUM-NS_LYR-8;SUM-NS;LYR-8;torch.Size([768]);85,43;90,65;95,09;89,71;90,50;94,60;69,97;87,99;nan;nan;nan;nan;nan;nan
allmpnet;MAX-NS_LYR-8;MAX-NS;LYR-8;torch.Size([768]);83,54;87,36;92,55;88,30;89,35;84,80;72,70;85,51;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG_LYR-8;CLS+AVG;LYR-8;torch.Size([1536]);85,96;89,27;95,02;88,98;91,82;92,40;70,61;87,72;nan;nan;nan;nan;nan;nan
allmpnet;CLS+SUM_LYR-8;CLS+SUM;LYR-8;torch.Size([1536]);85,72;90,76;95,13;89,89;90,61;93,20;70,09;87,91;nan;nan;nan;nan;nan;nan
allmpnet;CLS+MAX_LYR-8;CLS+MAX;LYR-8;torch.Size([1536]);84,70;88,37;94,57;88,55;90,66;84,00;71,30;86,02;nan;nan;nan;nan;nan;nan
allmpnet;CLS+AVG-NS_LYR-8;CLS+AVG-NS;LYR-8;torch.Size([1536]);86,20;89,96;95,04;89,50;91,87;90,60;70,43;87,66;nan;nan;nan;nan;nan;nan
